Date,Time,roll(degree),pitch(degree),yaw(degree),rollspeed(w),pitchspeed(w),yawspeed(w),airspeed(m/s),groundspeed(m/s),heading(degree),altitude(m),climbspeed(m/s),xacc,yacc,zacc
2024-05-14,10:23:12.259451,0.0008493459937911611,-0.00596750422142102,24.533801967171346,0.017409933624184054,0.014030798723933043,0.045945482316670144,0.0,0.03126468136906624,24,-0.29999998211860657,0.022606324404478073,0.0,0.0,-10.01
2024-05-14,10:23:12.502607,0.0010355950646832063,-0.006228753411549197,24.536340669461875,0.02100467563244947,0.015032856582788525,0.051556842825761076,0.0,0.03135203197598457,24,-0.29999998211860657,0.015202905982732773,0.0,0.0,-10.01
2024-05-14,10:23:12.769581,0.0018508938520443833,-0.005890955956827754,24.53872561454773,0.0205128394352023,0.012037300528472017,0.05070380399383272,0.0,0.031308189034461975,24,-0.32999998331069946,-0.004744952078908682,0.0,0.0,-10.01
2024-05-14,10:23:13.037160,0.0022331715760171224,-0.0056400515100545,24.54115839520837,0.019773496848762413,0.01504140532320472,0.046601623169199864,0.0,0.031186381354928017,24,-0.3700000047683716,-0.029461678117513657,0.0,0.0,-10.01
2024-05-14,10:23:13.255346,0.0021367790639047527,-0.005407713963145947,24.543741516246918,0.01938025478961741,0.014596003267890328,0.04507275335312744,0.0,0.031217221170663834,24,-0.4099999964237213,-0.04412836581468582,0.0,0.0,-10.01
2024-05-14,10:23:13.506974,0.0018951242825218067,-0.005480299426085512,24.545969287301325,0.016222039095250662,0.015914344501675694,0.04628136573110227,0.0,0.031500790268182755,24,-0.41999998688697815,-0.041947998106479645,0.0,0.0,-10.01
2024-05-14,10:23:13.756771,0.0020826182720788226,-0.005549996519226961,24.5484447782966,0.023117322314554337,0.018947051873632298,0.048975450221069486,0.0,0.031843505799770355,24,-0.41999998688697815,-0.041260115802288055,0.0,0.0,-10.01
2024-05-14,10:23:14.031721,0.00292742723127483,-0.006719177331520351,24.55072892699272,0.019400822485138657,0.018230252335690388,0.04741679662008099,0.0,0.03169731795787811,24,-0.4399999976158142,-0.04395851120352745,0.0,0.0,-10.01
2024-05-14,10:23:14.249755,0.003689288674812218,-0.006910972593791166,24.55296524011405,0.0203687120762885,0.01753452767849348,0.05005869775666458,0.0,0.03179507330060005,24,-0.41999998688697815,-0.024375582113862038,0.0,0.0,-10.01
2024-05-14,10:23:14.510684,0.00425375287849634,-0.006414578403019981,24.555206678475543,0.019528279466566385,0.019375856959848267,0.04295082384672989,0.0,0.03208986669778824,24,-0.4099999964237213,-0.014063325710594654,0.0,0.0,-10.01
2024-05-14,10:23:14.753706,0.00449756257144058,-0.006229351940164401,24.55784788556919,0.022651966524779035,0.014516588739433865,0.047007598246857046,0.0,0.032468315213918686,24,-0.4099999964237213,-0.013892796821892262,0.0,0.0,-10.01
2024-05-14,10:23:15.037653,0.004182129649365333,-0.006787349115152529,24.560075656623596,0.020859493862149442,0.013993487242538079,0.04602303160473135,0.0,0.03235480189323425,24,-0.4099999964237213,-0.0156273040920496,0.0,0.0,-10.01
2024-05-14,10:23:15.259768,0.004238851392896739,-0.007152155017225178,24.562937249043944,0.023531992949403016,0.010254844774011593,0.05270730241373846,0.0,0.03247460350394249,24,-0.3999999761581421,-0.005019618663936853,0.0,0.0,-10.01
2024-05-14,10:23:15.510529,0.004271381735952962,-0.007261491805510773,24.56526239966131,0.019456899819812575,0.013030329155646692,0.05341284711115584,0.0,0.03259173780679703,24,-0.3700000047683716,0.016244616359472275,0.0,0.0,-10.01
